@relation csvPartidos

@attribute surface {Hard,Clay,Grass}
@attribute P1_hand {R,L,U}
@attribute P2_hand {R,L,U}
@attribute P1_ht numeric
@attribute P2_ht numeric
@attribute P1_age numeric
@attribute P2_age numeric
@attribute P1_ace numeric
@attribute P2_ace numeric
@attribute P1_df numeric
@attribute P2_df numeric
@attribute P1_svpt numeric
@attribute P2_svpt numeric
@attribute P1_1stIn numeric
@attribute P2_1stIn numeric
@attribute P1_1stWon numeric
@attribute P2_1stWon numeric
@attribute P1_2ndWon numeric
@attribute P2_2ndWon numeric
@attribute P1_SvGms numeric
@attribute P2_SvGms numeric
@attribute P1_bpSaved numeric
@attribute P2_bpSaved numeric
@attribute P1_rank numeric
@attribute P2_rank numeric
@attribute P1_bpFaced numeric
@attribute P2_bpFaced numeric
@attribute WINNER {P1,P2}

@data
Hard,R,R,180,183,32.04,35.56,12,9,2,1,108,103,68,63,47,39,27,21,17,16,1,3,34,90,4,8,P1
Hard,R,R,183,175,25.69,32.78,15,5,6,4,160,150,99,95,68,57,27,26,25,25,6,10,45,95,13,19,P1
Hard,R,R,185,196,28.8,33.1,7,10,2,11,117,183,79,123,66,79,27,25,23,25,4,9,70,129,6,16,P1
Hard,R,R,198,193,29.3,27.56,20,12,3,6,118,153,71,80,55,59,26,30,19,19,3,13,6,105,5,18,P1
Hard,R,R,188,?,26.67,24.38,7,3,5,2,69,83,38,49,33,26,18,13,12,12,2,8,3,226,2,14,P1
Hard,R,R,?,?,22.75,21.77,3,2,7,4,115,124,73,64,56,42,20,26,18,18,5,7,186,140,7,13,P1
Hard,R,R,183,183,32.58,25.53,12,0,1,1,86,104,51,75,36,41,20,16,15,16,3,3,123,119,6,9,P1
Hard,R,R,?,175,20.24,35.79,13,3,15,10,179,165,96,102,68,56,34,28,26,26,9,8,32,33,17,21,P1
Hard,R,R,193,178,22.72,33.95,16,3,1,3,79,70,58,49,44,30,13,8,13,12,2,2,17,98,2,7,P1
Hard,R,L,193,?,31.93,25.03,22,12,5,5,151,141,107,83,81,61,20,28,25,24,7,6,65,188,10,12,P1
Hard,L,R,?,?,18.75,19.43,9,6,6,6,81,91,46,46,38,30,24,23,14,14,1,3,50,82,2,8,P1
Hard,R,U,188,?,32.75,26.88,5,6,4,6,86,107,51,71,41,45,18,13,13,14,5,10,15,214,5,15,P1
Hard,R,R,?,203,23.02,31.66,11,35,5,2,170,139,108,93,84,77,31,22,25,24,9,7,49,12,11,11,P1
